id,combinacao,fold,y_true,y_pred,y_prob
Benign_3,img_original,1,0,0,"[0.9978291392326355, 0.0021708307322114706]"
Benign_4,img_original,1,0,0,"[0.9984235763549805, 0.0015764553099870682]"
Benign_8,img_original,1,0,0,"[0.9819387197494507, 0.018061339855194092]"
Benign_10,img_original,1,0,0,"[0.9993076324462891, 0.0006923139444552362]"
Benign_14,img_original,1,0,0,"[0.9932661056518555, 0.0067339069209992886]"
Benign_18,img_original,1,0,0,"[0.9930469393730164, 0.00695301778614521]"
Benign_27,img_original,1,0,0,"[0.9001243710517883, 0.09987570345401764]"
Benign_29,img_original,1,0,0,"[0.9927697777748108, 0.007230244576931]"
Benign_32,img_original,1,0,0,"[0.9911174774169922, 0.008882565423846245]"
Benign_34,img_original,1,0,0,"[0.9799380898475647, 0.020061982795596123]"
Benign_42,img_original,1,0,0,"[0.9842817187309265, 0.01571832410991192]"
Benign_50,img_original,1,0,0,"[0.9988875985145569, 0.0011124442098662257]"
Benign_52,img_original,1,0,0,"[0.9997439980506897, 0.00025594051112420857]"
Benign_59,img_original,1,0,0,"[0.992830216884613, 0.00716983200982213]"
Malignant_1,img_original,1,1,0,"[0.5877492427825928, 0.4122507870197296]"
Malignant_2,img_original,1,1,1,"[0.011433436535298824, 0.9885665774345398]"
Malignant_4,img_original,1,1,1,"[0.18461483716964722, 0.8153852224349976]"
Malignant_11,img_original,1,1,1,"[0.005972341634333134, 0.9940276145935059]"
Malignant_15,img_original,1,1,1,"[0.0033980926964432, 0.996601939201355]"
Malignant_17,img_original,1,1,1,"[0.03512924537062645, 0.964870810508728]"
Malignant_32,img_original,1,1,1,"[0.06183718889951706, 0.9381628036499023]"
Malignant_40,img_original,1,1,1,"[0.0119600435718894, 0.9880399107933044]"
Malignant_48,img_original,1,1,1,"[0.002063844120129943, 0.9979361295700073]"
Malignant_53,img_original,1,1,1,"[0.017286546528339386, 0.9827134609222412]"
Malignant_55,img_original,1,1,1,"[0.13764174282550812, 0.8623582720756531]"
Malignant_57,img_original,1,1,1,"[0.001851749373599887, 0.9981483221054077]"
Malignant_61,img_original,1,1,1,"[0.002671763300895691, 0.9973282814025879]"
Malignant_62,img_original,1,1,1,"[0.005014616996049881, 0.9949853420257568]"
Malignant_64,img_original,1,1,1,"[0.021254325285553932, 0.978745698928833]"
Malignant_76,img_original,1,1,1,"[0.0005717160529457033, 0.9994282126426697]"
Malignant_78,img_original,1,1,1,"[0.0004045717359986156, 0.9995954632759094]"
Benign_2,img_original,2,0,0,"[0.9832968711853027, 0.016703080385923386]"
Benign_11,img_original,2,0,0,"[0.990925669670105, 0.009074307046830654]"
Benign_22,img_original,2,0,0,"[0.9231191277503967, 0.07688086479902267]"
Benign_30,img_original,2,0,0,"[0.9197896122932434, 0.0802103653550148]"
Benign_37,img_original,2,0,1,"[0.4408074915409088, 0.5591925382614136]"
Benign_38,img_original,2,0,0,"[0.9008930325508118, 0.09910693019628525]"
Benign_39,img_original,2,0,0,"[0.9102383255958557, 0.08976169675588608]"
Benign_40,img_original,2,0,0,"[0.9626362919807434, 0.03736373782157898]"
Benign_51,img_original,2,0,0,"[0.9652957320213318, 0.0347042977809906]"
Benign_57,img_original,2,0,0,"[0.9983339905738831, 0.0016660366673022509]"
Benign_60,img_original,2,0,0,"[0.9463233947753906, 0.05367656424641609]"
Benign_61,img_original,2,0,1,"[0.4070727825164795, 0.5929271578788757]"
Benign_64,img_original,2,0,0,"[0.9996418952941895, 0.00035807935637421906]"
Benign_66,img_original,2,0,0,"[0.9992916584014893, 0.0007083216914907098]"
Malignant_6,img_original,2,1,1,"[0.07253177464008331, 0.9274682402610779]"
Malignant_13,img_original,2,1,1,"[0.006082933861762285, 0.9939170479774475]"
Malignant_18,img_original,2,1,1,"[0.02305794321000576, 0.9769420623779297]"
Malignant_25,img_original,2,1,1,"[1.975808118004352e-06, 0.9999979734420776]"
Malignant_26,img_original,2,1,1,"[0.0023137321695685387, 0.9976862668991089]"
Malignant_30,img_original,2,1,1,"[0.01480539795011282, 0.9851946234703064]"
Malignant_33,img_original,2,1,1,"[0.014810134656727314, 0.9851898550987244]"
Malignant_34,img_original,2,1,1,"[0.13775207102298737, 0.862247884273529]"
Malignant_37,img_original,2,1,1,"[0.035736363381147385, 0.9642636775970459]"
Malignant_44,img_original,2,1,1,"[0.0009623798541724682, 0.9990376234054565]"
Malignant_49,img_original,2,1,1,"[2.5447941425227327e-06, 0.9999974966049194]"
Malignant_63,img_original,2,1,1,"[0.14750023186206818, 0.852499783039093]"
Malignant_67,img_original,2,1,1,"[0.024837831035256386, 0.975162148475647]"
Malignant_70,img_original,2,1,1,"[0.05949854478240013, 0.9405014514923096]"
Malignant_71,img_original,2,1,1,"[0.004108657129108906, 0.9958913326263428]"
Malignant_83,img_original,2,1,1,"[0.0006270718295127153, 0.9993728995323181]"
Benign_1,img_original,3,0,0,"[0.9914255142211914, 0.008574428036808968]"
Benign_6,img_original,3,0,0,"[0.9999991655349731, 8.223037752941309e-07]"
Benign_13,img_original,3,0,0,"[0.8451855778694153, 0.15481439232826233]"
Benign_16,img_original,3,0,0,"[0.9768393635749817, 0.02316068299114704]"
