id,combinacao,fold,y_true,y_pred,y_prob
Benign_1,img_original,1,0,0,"[0.9814557433128357, 0.01854432187974453]"
Benign_4,img_original,1,0,0,"[0.9989833235740662, 0.0010166143765673041]"
Benign_7,img_original,1,0,0,"[0.9959715008735657, 0.004028502386063337]"
Benign_9,img_original,1,0,0,"[0.9591269493103027, 0.04087299853563309]"
Benign_13,img_original,1,0,0,"[0.9379821419715881, 0.06201786920428276]"
Benign_15,img_original,1,0,0,"[0.9864148497581482, 0.013585204258561134]"
Benign_26,img_original,1,0,0,"[0.9614748954772949, 0.03852513059973717]"
Benign_36,img_original,1,0,0,"[0.9730289578437805, 0.02697109617292881]"
Benign_38,img_original,1,0,0,"[0.7924163341522217, 0.20758368074893951]"
Benign_41,img_original,1,0,0,"[0.9916937947273254, 0.00830615684390068]"
Benign_43,img_original,1,0,0,"[0.94046950340271, 0.05953051894903183]"
Benign_57,img_original,1,0,0,"[0.9290594458580017, 0.0709405168890953]"
Benign_65,img_original,1,0,0,"[0.9643053412437439, 0.035694606602191925]"
Benign_68,img_original,1,0,0,"[0.9557549953460693, 0.044245027005672455]"
Benign_73,img_original,1,0,0,"[0.984066367149353, 0.015933575108647346]"
Malignant_6,img_original,1,1,1,"[0.0001173974887933582, 0.9998825788497925]"
Malignant_8,img_original,1,1,1,"[0.13713297247886658, 0.8628669381141663]"
Malignant_15,img_original,1,1,1,"[0.0011486979201436043, 0.9988512992858887]"
Malignant_17,img_original,1,1,1,"[6.858167580503505e-07, 0.9999992847442627]"
Malignant_19,img_original,1,1,1,"[0.01182285975664854, 0.9881771206855774]"
Malignant_20,img_original,1,1,1,"[0.018784306943416595, 0.9812156558036804]"
Malignant_32,img_original,1,1,1,"[7.707007171120495e-05, 0.9999228715896606]"
Malignant_35,img_original,1,1,1,"[0.2556893527507782, 0.7443105578422546]"
Malignant_46,img_original,1,1,1,"[0.07275088131427765, 0.9272491335868835]"
Malignant_47,img_original,1,1,1,"[8.208932740672026e-06, 0.999991774559021]"
Malignant_65,img_original,1,1,1,"[0.0009514531120657921, 0.9990485310554504]"
Malignant_66,img_original,1,1,1,"[0.03493126109242439, 0.9650686979293823]"
Malignant_69,img_original,1,1,1,"[0.08917523920536041, 0.9108247756958008]"
Malignant_74,img_original,1,1,1,"[0.07951876521110535, 0.920481264591217]"
Malignant_76,img_original,1,1,1,"[1.5502711903536692e-05, 0.9999845027923584]"
Malignant_77,img_original,1,1,1,"[7.395674765575677e-05, 0.9999260902404785]"
Malignant_78,img_original,1,1,1,"[7.107471901690587e-06, 0.999992847442627]"
Malignant_82,img_original,1,1,1,"[0.00022929126862436533, 0.9997707009315491]"
Benign_3,img_original,2,0,0,"[0.999806821346283, 0.00019315605459269136]"
Benign_5,img_original,2,0,0,"[0.9795767068862915, 0.020423278212547302]"
Benign_16,img_original,2,0,0,"[0.9992592930793762, 0.0007406611694023013]"
Benign_22,img_original,2,0,0,"[0.9398953318595886, 0.06010468304157257]"
Benign_32,img_original,2,0,0,"[0.9891083240509033, 0.010891715064644814]"
Benign_34,img_original,2,0,0,"[0.9930182695388794, 0.006981720216572285]"
Benign_39,img_original,2,0,0,"[0.9994094371795654, 0.0005905398284085095]"
Benign_49,img_original,2,0,0,"[0.9946854114532471, 0.005314563866704702]"
Benign_50,img_original,2,0,1,"[0.022984489798545837, 0.977015495300293]"
Benign_52,img_original,2,0,0,"[0.9976934790611267, 0.0023064797278493643]"
Benign_54,img_original,2,0,0,"[0.9802008867263794, 0.01979908160865307]"
Benign_62,img_original,2,0,0,"[0.9999876022338867, 1.2341574802121613e-05]"
Benign_67,img_original,2,0,1,"[0.433310329914093, 0.566689670085907]"
Benign_69,img_original,2,0,0,"[0.9684338569641113, 0.03156614676117897]"
Benign_70,img_original,2,0,0,"[0.9998351335525513, 0.00016480938938912004]"
Malignant_1,img_original,2,1,1,"[0.024504149332642555, 0.9754958748817444]"
Malignant_4,img_original,2,1,1,"[0.0025017729494720697, 0.9974982142448425]"
Malignant_10,img_original,2,1,1,"[0.0027800919488072395, 0.9972199201583862]"
Malignant_11,img_original,2,1,1,"[0.022916078567504883, 0.9770838618278503]"
Malignant_14,img_original,2,1,1,"[0.023097030818462372, 0.976902961730957]"
Malignant_21,img_original,2,1,1,"[0.004295388702303171, 0.9957045912742615]"
Malignant_31,img_original,2,1,1,"[0.0002293059224030003, 0.9997707009315491]"
Malignant_34,img_original,2,1,1,"[0.04837173968553543, 0.9516282677650452]"
Malignant_53,img_original,2,1,1,"[0.0013290756614878774, 0.9986709356307983]"
Malignant_54,img_original,2,1,1,"[0.026119930669665337, 0.9738799929618835]"
Malignant_60,img_original,2,1,1,"[1.6880211717307247e-07, 0.9999998807907104]"
Malignant_64,img_original,2,1,1,"[0.002705514896661043, 0.9972944855690002]"
Malignant_67,img_original,2,1,1,"[5.849925582879223e-05, 0.9999414682388306]"
Malignant_70,img_original,2,1,1,"[0.0005969867343083024, 0.9994029998779297]"
Malignant_72,img_original,2,1,1,"[2.9272596293594688e-05, 0.9999706745147705]"
Malignant_83,img_original,2,1,1,"[2.8707540877803694e-06, 0.9999971389770508]"
Malignant_86,img_original,2,1,1,"[0.0006501704920083284, 0.9993497729301453]"
Malignant_87,img_original,2,1,1,"[8.152212103595957e-05, 0.9999184608459473]"
Benign_8,img_original,3,0,0,"[0.9842525124549866, 0.015747521072626114]"
Benign_12,img_original,3,0,0,"[0.9937465190887451, 0.006253449711948633]"
Benign_19,img_original,3,0,0,"[0.9904429316520691, 0.009557065553963184]"
Benign_20,img_original,3,0,0,"[0.9418097138404846, 0.058190204203128815]"
Benign_23,img_original,3,0,0,"[0.7172542214393616, 0.28274574875831604]"
Benign_24,img_original,3,0,0,"[0.9449300765991211, 0.05506996810436249]"
Benign_28,img_original,3,0,0,"[0.7593644261360168, 0.24063554406166077]"
Benign_29,img_original,3,0,0,"[0.9785807132720947, 0.021419283002614975]"
Benign_35,img_original,3,0,0,"[0.9892537593841553, 0.010746258310973644]"
Benign_40,img_original,3,0,0,"[0.9894058108329773, 0.010594173334538937]"
Benign_44,img_original,3,0,0,"[0.9953274726867676, 0.004672490060329437]"
Benign_51,img_original,3,0,0,"[0.987687885761261, 0.012312094680964947]"
Benign_58,img_original,3,0,0,"[0.9994474053382874, 0.0005526438471861184]"
Benign_61,img_original,3,0,0,"[0.9775162935256958, 0.022483645007014275]"
Benign_63,img_original,3,0,0,"[0.998684823513031, 0.0013151986058801413]"
Malignant_2,img_original,3,1,1,"[0.20402896404266357, 0.7959710359573364]"
Malignant_9,img_original,3,1,1,"[0.007949937134981155, 0.9920501112937927]"
Malignant_13,img_original,3,1,1,"[0.013416750356554985, 0.9865832924842834]"
