id,combinacao,fold,y_true,y_pred,y_prob
Benign_10,img_original,1,0,0,"[0.5015764236450195, 0.49842357635498047]"
Benign_11,img_original,1,0,0,"[0.6936469078063965, 0.30635303258895874]"
Benign_13,img_original,1,0,0,"[0.53570556640625, 0.4642944037914276]"
Benign_17,img_original,1,0,0,"[0.6870652437210083, 0.31293466687202454]"
Benign_18,img_original,1,0,1,"[0.3369044363498688, 0.6630955934524536]"
Benign_20,img_original,1,0,0,"[0.5232225060462952, 0.47677746415138245]"
Benign_32,img_original,1,0,0,"[0.9121559262275696, 0.08784407377243042]"
Malignant_1,img_original,1,1,1,"[0.009928419254720211, 0.9900715351104736]"
Malignant_12,img_original,1,1,1,"[0.20725427567958832, 0.7927456498146057]"
Malignant_13,img_original,1,1,1,"[0.024737853556871414, 0.9752621054649353]"
Malignant_18,img_original,1,1,1,"[0.17856822907924652, 0.8214318156242371]"
Malignant_19,img_original,1,1,1,"[0.05638948827981949, 0.9436105489730835]"
Benign_5,img_original,2,0,0,"[0.7714588046073914, 0.22854116559028625]"
Benign_6,img_original,2,0,0,"[0.832228422164917, 0.16777150332927704]"
Benign_9,img_original,2,0,0,"[0.9445953965187073, 0.05540460720658302]"
Benign_14,img_original,2,0,0,"[0.9092429280281067, 0.0907571092247963]"
Benign_15,img_original,2,0,1,"[0.46403783559799194, 0.5359621047973633]"
Benign_27,img_original,2,0,0,"[0.5940245389938354, 0.40597543120384216]"
Benign_28,img_original,2,0,0,"[0.7859182953834534, 0.21408170461654663]"
Malignant_2,img_original,2,1,1,"[0.1568872630596161, 0.8431127667427063]"
Malignant_6,img_original,2,1,0,"[0.6940473914146423, 0.3059525787830353]"
Malignant_15,img_original,2,1,1,"[0.3284994065761566, 0.6715006232261658]"
Malignant_17,img_original,2,1,1,"[0.20185486972332, 0.7981451749801636]"
Malignant_26,img_original,2,1,1,"[0.13343457877635956, 0.8665654063224792]"
Benign_2,img_original,3,0,0,"[0.6417343616485596, 0.35826560854911804]"
Benign_4,img_original,3,0,0,"[0.6483511924743652, 0.35164880752563477]"
Benign_12,img_original,3,0,0,"[0.928170382976532, 0.07182957977056503]"
Benign_24,img_original,3,0,0,"[0.9632256627082825, 0.036774348467588425]"
Benign_29,img_original,3,0,0,"[0.8638200759887695, 0.13617989420890808]"
Benign_31,img_original,3,0,0,"[0.5381484627723694, 0.4618515074253082]"
Malignant_4,img_original,3,1,0,"[0.9438815712928772, 0.056118424981832504]"
Malignant_9,img_original,3,1,1,"[0.1498974710702896, 0.8501025438308716]"
Malignant_10,img_original,3,1,1,"[0.03910296410322189, 0.9608970284461975]"
Malignant_21,img_original,3,1,1,"[0.2558092772960663, 0.7441907525062561]"
Malignant_24,img_original,3,1,1,"[0.1563691645860672, 0.843630850315094]"
Malignant_25,img_original,3,1,1,"[0.12874817848205566, 0.8712518811225891]"
Benign_3,img_original,4,0,0,"[0.6464962959289551, 0.3535037338733673]"
Benign_8,img_original,4,0,0,"[0.9356930255889893, 0.06430697441101074]"
Benign_16,img_original,4,0,1,"[0.3973322808742523, 0.6026677489280701]"
Benign_21,img_original,4,0,0,"[0.6369616389274597, 0.3630383014678955]"
Benign_23,img_original,4,0,1,"[0.27725741267204285, 0.7227426171302795]"
Benign_26,img_original,4,0,0,"[0.684996485710144, 0.31500354409217834]"
Malignant_5,img_original,4,1,1,"[0.21993134915828705, 0.7800686359405518]"
Malignant_14,img_original,4,1,1,"[0.11612871289253235, 0.88387131690979]"
Malignant_16,img_original,4,1,1,"[0.083201564848423, 0.9167983531951904]"
Malignant_20,img_original,4,1,1,"[0.34559181332588196, 0.6544081568717957]"
Malignant_22,img_original,4,1,1,"[0.2520715594291687, 0.7479284405708313]"
Benign_1,img_original,5,0,0,"[0.7705135941505432, 0.2294863909482956]"
Benign_7,img_original,5,0,0,"[0.7669908404350281, 0.23300912976264954]"
Benign_19,img_original,5,0,0,"[0.7259531617164612, 0.2740468978881836]"
Benign_22,img_original,5,0,0,"[0.6598890423774719, 0.3401109278202057]"
Benign_25,img_original,5,0,0,"[0.6527575850486755, 0.34724241495132446]"
Benign_30,img_original,5,0,0,"[0.7222480177879333, 0.27775198221206665]"
Malignant_3,img_original,5,1,1,"[0.20201610028743744, 0.7979838848114014]"
Malignant_7,img_original,5,1,1,"[0.35291746258735657, 0.6470825672149658]"
Malignant_8,img_original,5,1,1,"[0.3595605194568634, 0.6404394507408142]"
Malignant_11,img_original,5,1,1,"[0.3298131823539734, 0.6701867580413818]"
Malignant_23,img_original,5,1,1,"[0.4038528501987457, 0.5961472392082214]"
Benign_10,img_original,1,0,1,"[0.36812177300453186, 0.6318781971931458]"
Benign_11,img_original,1,0,0,"[0.7725390791893005, 0.22746090590953827]"
Benign_13,img_original,1,0,1,"[0.25370728969573975, 0.7462926506996155]"
Benign_17,img_original,1,0,0,"[0.6645784378051758, 0.3354215621948242]"
Benign_18,img_original,1,0,1,"[0.2961452901363373, 0.7038546800613403]"
Benign_20,img_original,1,0,1,"[0.37280943989753723, 0.6271905899047852]"
